group_id,timeslot_id,subject_id,teacher_id,room_id
G6,3,20001-1003,T15,R6203
G6,4,20901-2007,T18,R6203
G6,6,20901-2007,T18,R6203
G6,7,20901-2009,T08,R6203
G6,8,20901-2009,T08,R6203
G6,9,20901-2009,T08,R6203
G6,10,20901-2106,T05,R6203
G6,13,20901-2106,T05,R6203
G6,14,20901-2106,T05,R6203
G6,15,20901-2106,T05,R6203
G6,16,20901-2107,T13,R5201
G6,18,20901-2107,T13,R5201
G6,19,20901-2107,T13,R5201
G6,22,20901-8503,T07,R6301
G6,25,20901-8503,T07,R6301
G7,1,20000-1208,T16,R10401
G7,2,20000-1208,T16,R10401
G7,3,20000-1402,T17,R10401
G7,4,20000-1402,T17,R10401
G7,6,20001-1003,T15,R10401
G7,7,20001-1003,T15,R10401
G7,8,20001-1003,T15,R10401
G7,9,20901-2406,T18,R10401
G7,10,20901-2406,T18,R10401
G7,13,20901-2406,T18,R10401
G7,14,20901-2407,T13,R10401
G7,15,20901-2407,T13,R10401
G7,20,20901-2407,T13,R5201
G7,21,20901-2407,T13,R5201
G7,22,20901-2408,T13,R5201
G7,25,20901-2408,T13,R5201
G7,26,20901-2408,T13,R5201
G7,27,20901-2408,T13,R5201
G7,28,20901-2408,T13,R5201
G7,30,20901-2408,T13,R5201
G7,31,20901-8503,T07,R5201
G7,32,20901-8503,T07,R5201
G7,16,20901-9203,T08,R6203
G7,18,20901-9203,T08,R6203
G7,19,20901-9203,T08,R6203
G7,33,20000-2007,T18,R5201
G7,34,20000-2007,T18,R5201
G8,1,21900-1004,T18,R6402
G8,2,21900-1004,T18,R6402
G8,3,21900-1004,T18,R6402
G8,7,21901-2010,T18,R6402
G8,8,21901-2010,T18,R6402
G8,14,21901-2010,T18,R6402
G8,15,21901-2010,T18,R6402
G8,16,21901-2010,T18,R10401
G8,4,21901-2011,T05,R6402
G8,6,21901-2011,T05,R6402
G8,9,21901-2011,T05,R6402
G8,18,21901-2011,T05,R10401
G8,19,21901-2011,T05,R10401
G8,10,21901-2012,T13,R6402
G8,13,21901-2012,T13,R6402
G8,31,21901-2012,T13,R6203
G8,20,21901-2017,T05,R6203
G8,21,21901-2017,T05,R6203
G8,22,21901-2017,T05,R6203
